as_of,account,debit,credit,net
2026-05-31,1010,820000.00,0.00,820000.00
2026-05-31,1020,95000.00,0.00,95000.00
2026-05-31,1100,412500.00,0.00,412500.00
2026-05-31,1150,0.00,18500.00,-18500.00
2026-05-31,1200,22000.00,0.00,22000.00
2026-05-31,1300,48000.00,0.00,48000.00
2026-05-31,1400,265000.00,0.00,265000.00
2026-05-31,1450,0.00,98000.00,-98000.00
2026-05-31,2100,0.00,156000.00,-156000.00
2026-05-31,2200,0.00,42000.00,-42000.00
2026-05-31,2300,0.00,38000.00,-38000.00
2026-05-31,2400,0.00,615000.00,-615000.00
2026-05-31,2500,0.00,8500.00,-8500.00
2026-05-31,3100,0.00,100000.00,-100000.00
2026-05-31,3200,0.00,586500.00,-586500.00
