ap_invoice_id,invoice_date,vendor_id,po_id,account,cost_center,description,amount,status,due_date
APINV-2026-0001,2026-06-05,V001,PO-2026-0001,5100,CC-200,AWS-style hosting June usage,48500.00,Open,2026-07-05
APINV-2026-0002,2026-06-08,V003,PO-2026-0002,6400,CC-700,Demand gen campaign June,18500.00,Open,2026-07-08
APINV-2026-0003,2026-06-10,V006,PO-2026-0003,6700,CC-600,Contract review retainer,9200.00,Open,2026-07-10
APINV-2026-0004,2026-06-12,V009,PO-2026-0004,6300,CC-200,Managed security June,7600.00,Open,2026-07-12
APINV-2026-0005,2026-06-15,V008,PO-2026-0005,6450,CC-300,Sales travel,4300.00,Open,2026-07-15
APINV-2026-0006,2026-06-16,V010,PO-2026-0006,6550,CC-600,Office supplies,1200.00,Open,2026-07-16
APINV-2026-0007,2026-06-18,V013,PO-2026-0007,6550,CC-600,Utilities June,2800.00,Open,2026-07-18
APINV-2026-0008,2026-06-20,V011,PO-2026-0008,6300,CC-200,Analytics seats,5400.00,Open,2026-07-20
APINV-2026-0009,2026-06-22,V012,PO-2026-0009,6100,CC-100,Exec search fee,15000.00,Open,2026-07-22
APINV-2026-0010,2026-06-24,V017,PO-2026-0010,6900,CC-600,Courier,900.00,Open,2026-07-24
APINV-2026-0011,2026-06-25,V018,PO-2026-0011,6550,CC-100,All-hands catering,1600.00,Open,2026-07-25
APINV-2026-0012,2026-06-27,V014,PO-2026-0012,6700,CC-600,Interim audit work,12000.00,Open,2026-07-27
APINV-2026-0013,2026-06-07,V005,PO-2026-0013,1400,CC-200,4 laptops capitalized,9600.00,Open,2026-07-07
APINV-2026-0014,2026-06-01,V002,PO-2026-0014,1300,CC-300,Northstar CRM annual license,36000.00,Paid,2026-06-01
APINV-2026-0015,2026-06-01,V004,,6550,CC-600,June office rent,22000.00,Paid,2026-06-01
