payment_id,payment_date,vendor_id,amount,method,memo
APPAY-2026-0001,2026-06-05,V001,42000.00,ACH,Prior hosting
APPAY-2026-0002,2026-06-07,V003,15000.00,ACH,Prior marketing
APPAY-2026-0003,2026-06-01,V004,22000.00,ACH,June rent
APPAY-2026-0004,2026-06-03,V002,36000.00,ACH,CRM annual
APPAY-2026-0005,2026-06-11,V006,8000.00,ACH,Prior legal
APPAY-2026-0006,2026-06-14,V009,7000.00,ACH,Prior security
APPAY-2026-0007,2026-06-17,V010,2500.00,ACH,Prior supplies
APPAY-2026-0008,2026-06-21,V014,10000.00,ACH,Prior audit
APPAY-2026-0009,2026-06-28,V005,9600.00,ACH,Laptops
APPAY-2026-0010,2026-06-25,V011,4000.00,ACH,Prior analytics
APPAY-2026-0011,2026-06-25,V018,1600.00,CHECK,Catering - outstanding check
