je_id,line_no,posting_date,account,debit,credit,memo,source,ref,cost_center,product,customer_id,vendor_id,period
OB-202606-0001,1,2026-05-31,1010,820000.00,0.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,2,2026-05-31,1020,95000.00,0.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,3,2026-05-31,1100,412500.00,0.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,4,2026-05-31,1150,0.00,18500.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,5,2026-05-31,1200,22000.00,0.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,6,2026-05-31,1300,48000.00,0.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,7,2026-05-31,1400,265000.00,0.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,8,2026-05-31,1450,0.00,98000.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,9,2026-05-31,2100,0.00,156000.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,10,2026-05-31,2200,0.00,42000.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,11,2026-05-31,2300,0.00,38000.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,12,2026-05-31,2400,0.00,615000.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,13,2026-05-31,2500,0.00,8500.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,14,2026-05-31,3100,0.00,100000.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
OB-202606-0001,15,2026-05-31,3200,0.00,586500.00,Opening balance May 31,OPENING,OB-2026-05,,,,,2026-06
REV-202606-0002,1,2026-06-30,2400,12000.00,0.00,Deferred release C001 2026-06,R2R-REV,DEF-C001,CC-400,PL-SAAS,C001,,2026-06
REV-202606-0002,2,2026-06-30,4100,0.00,12000.00,SaaS revenue C001 2026-06,R2R-REV,DEF-C001,CC-400,PL-SAAS,C001,,2026-06
REV-202606-0002,3,2026-06-30,2400,18000.00,0.00,Deferred release C002 2026-06,R2R-REV,DEF-C002,CC-400,PL-SAAS,C002,,2026-06
REV-202606-0002,4,2026-06-30,4100,0.00,18000.00,SaaS revenue C002 2026-06,R2R-REV,DEF-C002,CC-400,PL-SAAS,C002,,2026-06
REV-202606-0002,5,2026-06-30,2400,8000.00,0.00,Deferred release C003 2026-06,R2R-REV,DEF-C003,CC-400,PL-SAAS,C003,,2026-06
REV-202606-0002,6,2026-06-30,4100,0.00,8000.00,SaaS revenue C003 2026-06,R2R-REV,DEF-C003,CC-400,PL-SAAS,C003,,2026-06
REV-202606-0002,7,2026-06-30,2400,6000.00,0.00,Deferred release C004 2026-06,R2R-REV,DEF-C004,CC-400,PL-SAAS,C004,,2026-06
REV-202606-0002,8,2026-06-30,4100,0.00,6000.00,SaaS revenue C004 2026-06,R2R-REV,DEF-C004,CC-400,PL-SAAS,C004,,2026-06
REV-202606-0002,9,2026-06-30,2400,10000.00,0.00,Deferred release C005 2026-06,R2R-REV,DEF-C005,CC-400,PL-SAAS,C005,,2026-06
REV-202606-0002,10,2026-06-30,4100,0.00,10000.00,SaaS revenue C005 2026-06,R2R-REV,DEF-C005,CC-400,PL-SAAS,C005,,2026-06
REV-202606-0002,11,2026-06-30,2400,15000.00,0.00,Deferred release C006 2026-06,R2R-REV,DEF-C006,CC-400,PL-SAAS,C006,,2026-06
REV-202606-0002,12,2026-06-30,4100,0.00,15000.00,SaaS revenue C006 2026-06,R2R-REV,DEF-C006,CC-400,PL-SAAS,C006,,2026-06
REV-202606-0002,13,2026-06-30,2400,5000.00,0.00,Deferred release C008 2026-06,R2R-REV,DEF-C008,CC-400,PL-SAAS,C008,,2026-06
REV-202606-0002,14,2026-06-30,4100,0.00,5000.00,SaaS revenue C008 2026-06,R2R-REV,DEF-C008,CC-400,PL-SAAS,C008,,2026-06
REV-202606-0002,15,2026-06-30,2400,11000.00,0.00,Deferred release C011 2026-06,R2R-REV,DEF-C011,CC-400,PL-SAAS,C011,,2026-06
REV-202606-0002,16,2026-06-30,4100,0.00,11000.00,SaaS revenue C011 2026-06,R2R-REV,DEF-C011,CC-400,PL-SAAS,C011,,2026-06
REV-202606-0002,17,2026-06-30,2400,7000.00,0.00,Deferred release C014 2026-06,R2R-REV,DEF-C014,CC-400,PL-SAAS,C014,,2026-06
REV-202606-0002,18,2026-06-30,4100,0.00,7000.00,SaaS revenue C014 2026-06,R2R-REV,DEF-C014,CC-400,PL-SAAS,C014,,2026-06
