receipt_id,receipt_date,customer_id,amount,method,memo
RCPT-2026-0001,2026-06-08,C001,45000.00,ACH,Prior AR
RCPT-2026-0002,2026-06-10,C002,54000.00,ACH,Prior AR
RCPT-2026-0003,2026-06-12,C003,32000.00,ACH,Prior AR
RCPT-2026-0004,2026-06-14,C005,28000.00,ACH,Prior AR
RCPT-2026-0005,2026-06-18,C006,40000.00,ACH,Prior AR
RCPT-2026-0006,2026-06-20,C011,35000.00,ACH,Prior AR
RCPT-2026-0007,2026-06-22,C015,38000.00,ACH,Prior AR
RCPT-2026-0008,2026-06-24,C004,22000.00,ACH,Prior AR
RCPT-2026-0009,2026-06-26,C014,18000.00,ACH,Prior AR + partial
RCPT-2026-0010,2026-06-28,C008,60000.00,ACH,C008 annual collected
RCPT-2026-0011,2026-06-29,C020,15000.00,ACH,Prior AR
RCPT-2026-0012,2026-06-30,C012,12500.00,ACH,Deposit in transit at month-end
