customer_id,contract_start,annual_amount,monthly_recognition,period,recognition_amount,product
C001,2026-04-01,144000.00,12000.00,2026-06,12000.00,PL-SAAS
C002,2026-01-01,216000.00,18000.00,2026-06,18000.00,PL-SAAS
C003,2026-03-01,96000.00,8000.00,2026-06,8000.00,PL-SAAS
C004,2025-07-01,72000.00,6000.00,2026-06,6000.00,PL-SAAS
C005,2026-02-01,120000.00,10000.00,2026-06,10000.00,PL-SAAS
C006,2026-05-01,180000.00,15000.00,2026-06,15000.00,PL-SAAS
C008,2026-06-01,60000.00,5000.00,2026-06,5000.00,PL-SAAS
C011,2025-10-01,132000.00,11000.00,2026-06,11000.00,PL-SAAS
C014,2026-04-15,84000.00,7000.00,2026-06,7000.00,PL-SAAS
C015,2026-01-01,156000.00,13000.00,2026-06,13000.00,PL-SAAS
C020,2026-03-01,108000.00,9000.00,2026-06,9000.00,PL-SAAS
C024,2026-05-15,90000.00,7500.00,2026-06,7500.00,PL-SAAS
