bank_txn_id,bank_account,txn_date,description,amount,type,reconciled
BNK-OP-0001,1010,2026-06-08,ACH IN C001 Prior AR,45000.00,credit,Y
BNK-OP-0002,1010,2026-06-10,ACH IN C002 Prior AR,54000.00,credit,Y
BNK-OP-0003,1010,2026-06-12,ACH IN C003 Prior AR,32000.00,credit,Y
BNK-OP-0004,1010,2026-06-14,ACH IN C005 Prior AR,28000.00,credit,Y
BNK-OP-0005,1010,2026-06-18,ACH IN C006 Prior AR,40000.00,credit,Y
BNK-OP-0006,1010,2026-06-20,ACH IN C011 Prior AR,35000.00,credit,Y
BNK-OP-0007,1010,2026-06-22,ACH IN C015 Prior AR,38000.00,credit,Y
BNK-OP-0008,1010,2026-06-24,ACH IN C004 Prior AR,22000.00,credit,Y
BNK-OP-0009,1010,2026-06-26,ACH IN C014 Prior AR + partial,18000.00,credit,Y
BNK-OP-0010,1010,2026-06-28,ACH IN C008 C008 annual collected,60000.00,credit,Y
BNK-OP-0011,1010,2026-06-29,ACH IN C020 Prior AR,15000.00,credit,Y
BNK-OP-0012,1010,2026-06-05,ACH OUT V001 Prior hosting,-42000.00,debit,Y
BNK-OP-0013,1010,2026-06-07,ACH OUT V003 Prior marketing,-15000.00,debit,Y
BNK-OP-0014,1010,2026-06-01,ACH OUT V004 June rent,-22000.00,debit,Y
BNK-OP-0015,1010,2026-06-03,ACH OUT V002 CRM annual,-36000.00,debit,Y
BNK-OP-0016,1010,2026-06-11,ACH OUT V006 Prior legal,-8000.00,debit,Y
BNK-OP-0017,1010,2026-06-14,ACH OUT V009 Prior security,-7000.00,debit,Y
BNK-OP-0018,1010,2026-06-17,ACH OUT V010 Prior supplies,-2500.00,debit,Y
BNK-OP-0019,1010,2026-06-21,ACH OUT V014 Prior audit,-10000.00,debit,Y
BNK-OP-0020,1010,2026-06-28,ACH OUT V005 Laptops,-9600.00,debit,Y
BNK-OP-0021,1010,2026-06-25,ACH OUT V011 Prior analytics,-4000.00,debit,Y
BNK-PR-0022,1020,2026-06-16,Payroll funding June,-342865.25,debit,Y
BNK-OP-0023,1010,2026-06-14,Transfer to payroll account,-450000.00,debit,Y
BNK-PR-0024,1020,2026-06-14,Transfer from operating,450000.00,credit,Y
BNK-OP-0025,1010,2026-06-25,CHECK OUT V018 catering,-1600.00,debit,N
BNK-OP-0026,1010,2026-06-30,Interest credit,420.00,credit,Y
