so_id,order_date,customer_id,product,amount,billing_type
SO-2026-0001,2026-05-28,C008,PL-SAAS,60000.00,annual_upfront
SO-2026-0002,2026-06-01,C007,PL-SAAS,6500.00,monthly_arrears
SO-2026-0003,2026-06-01,C009,PL-SAAS,4200.00,monthly_arrears
SO-2026-0004,2026-06-01,C010,PL-SAAS,7800.00,monthly_arrears
SO-2026-0005,2026-06-01,C012,PL-SAAS,9100.00,monthly_arrears
SO-2026-0006,2026-06-01,C013,PL-SAAS,3500.00,monthly_arrears
SO-2026-0007,2026-06-01,C016,PL-SAAS,5600.00,monthly_arrears
SO-2026-0008,2026-06-01,C017,PL-SAAS,4800.00,monthly_arrears
SO-2026-0009,2026-06-01,C018,PL-SAAS,6200.00,monthly_arrears
SO-2026-0010,2026-06-01,C019,PL-SAAS,5400.00,monthly_arrears
SO-2026-0011,2026-06-01,C021,PL-SAAS,11000.00,monthly_arrears
SO-2026-0012,2026-06-01,C022,PL-SAAS,8700.00,monthly_arrears
SO-2026-0013,2026-06-01,C023,PL-SAAS,2900.00,monthly_arrears
SO-2026-0014,2026-06-01,C025,PL-SAAS,4100.00,monthly_arrears
